Date,Business Market,Metric,Subcategory,Revenues,Subscribers,Capital Expenditures,Mobile Phone Data (GB),Wireless Data (GB)
2021 Q2,Residential,Mobile phone,"Mobile interconnect, spectrum and other",52316000,,,,
2017 Q1,Combined,Paging,,2209000,70000,,,
2022 Q3,Residential,Mobile phone,Basic voice,1361863000,,,,
2022 Q1,Business,Mobile phone,"Mobile interconnect, spectrum and other",32070000,,,,
2022 Q4,Residential,Mobile phone,Voice only including SMS/MMS,,3340000,,,
2016 Q1,Combined,Mobile phone,Voice only including SMS/MMS,,6879000,,,
2018 Q1,Combined,Mobile services,"Data, including roaming",2881338000,,,,
2014 Q4,Combined,Basic voice,,,,,,
2017 Q1,Combined,Mobile phone,Voice only including SMS/MMS,,5193000,,,
2015 Q4,Combined,Mobile television,,10859000,,,,
2022 Q4,Combined,Wireless data traffic (GB),,,,,,562026162
2022 Q3,Business,Mobile broadband and other plans for mobile connected devices,,150407000,,,,
2023 Q2,Business,Mobile phone,Data,703956000,,,,
2019 Q1,Combined,Mobile phone plans,Data only,152729000,,,,
2023 Q2,Residential,Mobile phone,Data,3033840000,,,,
2020 Q3,Combined,Mobile phone plans,Voice only including SMS/MMS,555528000,,,,
2023 Q2,Business,Flanker,Mobile phone,,,,,
2018 Q1,Combined,Mobile services,Other mobile services,984317000,,,,
2020 Q2,Combined,Mobile phone,Voice only including SMS/MMS,,4525000,,,
2022 Q3,Combined,Mobile services,"Data, including roaming",3563487000,,,,
2022 Q1,Combined,Mobile services,"Long distance, including roaming",90647000,,,,
2022 Q4,Combined,Mobile phone plans,Voice and data,5332860000,,,,
2022 Q1,Residential,Mobile phone,Roaming,147818000,,,,
2021 Q3,Combined,Mobile services,Other mobile services,1679479000,,,,
2015 Q1,Combined,Mobile television,,158000,,,,
2019 Q1,Combined,Mobile services,"Mobile voice, including roaming",2122681000,,,,
2014 Q4,Combined,Mobile phone,Voice and data,,17600000,,,
2020 Q4,Combined,Long distance,,,,,,
2021 Q4,Combined,Basic voice,,,,,,
2022 Q1,Business,Mobile phone,Long distance,13441000,,,,
2018 Q2,Combined,Paging,,1742000,68000,,,
2020 Q4,Combined,Mobile phone,,7128159000,,,,
2022 Q1,Combined,Mobile services,"Mobile voice, including roaming",1664784000,,,,
2023 Q2,Combined,Paging,,,,,,
2021 Q2,Combined,Wireless,,,,989574000,,
2021 Q1,Business,Mobile phone,Data,448026000,,,,
2022 Q1,Business,Mobile phone,Data,480984000,,,,
2020 Q4,Combined,Mobile services,"Data, including roaming",3239160000,,,,
2021 Q3,Business,Mobile phone,Voice only including SMS/MMS,,536000,,,
2021 Q3,Residential,Paging,,42000,,,,
2021 Q4,Combined,Mobile phone plans,Data only,82193000,,,,
2021 Q3,Business,Mobile phone,Voice and data,,4055000,,,
2020 Q1,Combined,Mobile services,"Data, including roaming",3105566000,,,,
2019 Q4,Combined,Mobile phone,Data only,,2682000,,,
2016 Q4,Combined,Basic voice,,,,,,
2020 Q3,Combined,Mobile services,"Mobile voice, including roaming",1976387000,,,,
2019 Q4,Combined,Mobile phone,,7351600000,,,,
2016 Q2,Combined,Mobile services,Other mobile services,292441000,,,,
2021 Q2,Residential,Mobile phone,Roaming,47692000,,,,
2022 Q4,Residential,Mobile phone,Basic voice,1387561000,,,,
2015 Q4,Combined,Mobile phone plans,Voice only including SMS/MMS,703286000,,,,
2016 Q4,Combined,Mobile services,Other mobile services,406491000,,,,
2022 Q4,Business,Mobile phone,Voice only including SMS/MMS,,582000,,,
2022 Q1,Business,Mobile phone,Voice and data,,4187000,,,
2023 Q2,Business,Mobile phone,Long distance,16816000,,,,
2023 Q1,Residential,Mobile phone,Data only,,177000,,,
2015 Q3,Combined,Long distance,,,,,,
2022 Q4,Residential,Mobile phone,Roaming,200965000,,,,
2021 Q4,Business,Paging,,165000,,,,
2016 Q4,Combined,Mobile phone plans,Data only,166850000,,,,
2021 Q4,Combined,Mobile data traffic (GB),,,,,303942000,
2016 Q4,Combined,Mobile phone,Voice only including SMS/MMS,,6515000,,,
2015 Q4,Combined,Mobile phone plans,Data only,160071000,,,,
2023 Q1,Residential,Mobile phone,Voice and data,,25465000,,,
2022 Q3,Residential,Mobile broadband and other plans for mobile connected devices,,73717000,,,,
2017 Q1,Combined,Mobile services,"Long distance, including roaming",127566000,,,,
2022 Q2,Business,Mobile phone,Long distance,14223000,,,,
2020 Q1,Combined,Long distance,,,,,,
2016 Q4,Combined,Mobile phone,Voice and data,,21890000,,,
2019 Q1,Combined,Mobile phone plans,Voice only including SMS/MMS,485938000,,,,
2016 Q1,Combined,Mobile phone plans,Voice and data,4387767000,,,,
2021 Q3,Combined,Mobile data traffic (GB),,,,,304848920,
2018 Q1,Combined,Paging,,1783000,70000,,,
2021 Q2,Business,Mobile phone,Voice only including SMS/MMS,,532000,,,
2023 Q1,Combined,Basic voice,,,,,,
2020 Q2,Combined,Mobile phone,Voice and data,,26640000,,,
2022 Q2,Residential,Mobile phone,Data,2698807000,,,,
2014 Q4,Combined,Mobile services,Other mobile services,206326000,,,,
2023 Q2,Combined,Long distance,,,,,,
2021 Q4,Combined,Mobile services,Other mobile services,2087147000,,,,
2021 Q4,Residential,Mobile phone,"Mobile interconnect, spectrum and other",55854000,,,,
2017 Q4,Combined,Mobile phone plans,Voice and data,5287247000,,,,
2022 Q4,Business,Paging,,,,,,
2019 Q4,Combined,Mobile phone,Voice only including SMS/MMS,,3295000,,,
2022 Q2,Combined,Wireless,,,,840560000,,
2023 Q2,Residential,Flanker,Mobile phone,1707522000,11449000,,,
2021 Q1,Combined,Mobile data traffic (GB),,,,,203555420,
2021 Q1,Residential,Mobile phone,Long distance,68757000,,,,
2015 Q2,Combined,Mobile television,,9282000,,,,
2023 Q2,Business,Mobile phone,Voice only including SMS/MMS,,610000,,,
2022 Q1,Business,Mobile phone,Basic voice,133909000,,,,
2014 Q4,Combined,Mobile phone,,5500140000,,,,
2014 Q1,Combined,Mobile phone,Data only,,1726000,,,
2014 Q1,Combined,Paging,,5070000,156000,,,
2022 Q3,Business,Flanker,Mobile phone,,,,,
2019 Q3,Combined,Mobile television,,16045000,,,,
2021 Q3,Residential,Mobile phone,Data only,,173000,,,
2021 Q1,Business,Mobile phone,"Mobile interconnect, spectrum and other",30850000,,,,
2022 Q4,Residential,Mobile phone,Data,2791062000,,,,
2015 Q4,Combined,Mobile phone,Voice only including SMS/MMS,,7066000,,,
2017 Q2,Combined,Mobile phone,Data only,,2149000,,,
2022 Q3,Business,Mobile phone,Roaming,89059000,,,,
2018 Q2,Combined,Mobile television,,15284000,,,,
2022 Q1,Residential,Mobile phone,Terminal equipment sales and rentals,1160254000,,,,
2016 Q1,Combined,Mobile phone,Data only,,1920000,,,
2023 Q1,Combined,Mobile phone plans,Voice and data,5179650000,,,,
2019 Q3,Combined,Wireless data traffic (GB),,,,,,278352028.9
2018 Q3,Combined,Mobile phone,Voice only including SMS/MMS,,4790000,,,
2022 Q2,Business,Mobile phone,Basic voice,216527000,,,,
2015 Q3,Combined,Mobile services,Other mobile services,181628000,,,,
2019 Q2,Combined,Mobile services,"Data, including roaming",3004588000,,,,
2022 Q4,Business,Flanker,Mobile phone,,,,,
2016 Q1,Combined,Mobile phone,,5567337000,,,,
2021 Q1,Business,Mobile phone,Voice only including SMS/MMS,,566000,,,
2021 Q1,Business,Mobile phone,Voice and data,,3878000,,,
2015 Q3,Combined,Paging,,2617000,96000,,,
2019 Q4,Combined,Mobile services,"Long distance, including roaming",108014000,,,,
2019 Q3,Combined,Mobile phone,,6954781000,,,,
2016 Q1,Combined,Mobile services,"Data, including roaming",2740166000,,,,
2021 Q2,Residential,Mobile phone,Data,2559374000,,,,
2023 Q1,Combined,Mobile services,Other mobile services,1698431000,,,,
2017 Q2,Combined,Mobile services,Other mobile services,292996000,,,,
2021 Q3,Residential,Mobile phone,Roaming,81524000,,,,
2019 Q3,Combined,Mobile phone,Voice only including SMS/MMS,,4152000,,,
2016 Q4,Combined,Wireless data traffic (GB),,,,,,117525938.4
2021 Q3,Residential,Mobile phone,Long distance,77753000,,,,
2015 Q4,Combined,Paging,,2556000,93000,,,
2023 Q2,Residential,Mobile phone,Data only,,178000,,,
2017 Q3,Combined,Mobile phone plans,Voice and data,5277094000,,,,
2023 Q2,Residential,Mobile phone,"Mobile interconnect, spectrum and other",71222000,,,,
2018 Q1,Combined,Mobile services,"Long distance, including roaming",119269000,,,,
2019 Q1,Combined,Basic voice,,,,,,
2021 Q1,Residential,Mobile phone,Roaming,47423000,,,,
2023 Q2,Business,Mobile phone,Basic voice,96934000,,,,
2016 Q4,Combined,Paging,,2843000,81000,,,
2016 Q1,Combined,Mobile phone,Voice and data,,20625000,,,
2014 Q3,Combined,Mobile services,Other mobile services,152142000,,,,
2014 Q4,Combined,Mobile services,"Data, including roaming",1444976000,,,,
2020 Q4,Combined,Mobile television,,59000,,,,
2022 Q1,Combined,Mobile data traffic (GB),,,,,284983560,
2021 Q4,Combined,Mobile services,"Long distance, including roaming",92152000,,,,
2023 Q1,Residential,Mobile broadband and other plans for mobile connected devices,,67606000,,,,
2020 Q1,Combined,Mobile phone,Voice only including SMS/MMS,,4721000,,,
2021 Q4,Business,Mobile phone,Basic voice,139177000,,,,
2022 Q1,Combined,Mobile phone plans,Voice only including SMS/MMS,648378000,,,,
2023 Q2,Business,Mobile phone,Terminal equipment sales and rentals,324373000,,,,
2017 Q3,Combined,Mobile services,"Data, including roaming",3211653000,,,,
2022 Q3,Business,Mobile phone,Voice and data,,5113000,,,
2021 Q4,Combined,Mobile television,,,,,,
2022 Q1,Combined,Wireless data traffic (GB),,,,,,433372892
2014 Q2,Combined,Mobile services,"Long distance, including roaming",175383000,,,,
2014 Q1,Combined,Mobile phone plans,Voice only including SMS/MMS,1023829000,,,,
2021 Q1,Combined,Paging,,,19000,,,
2014 Q3,Combined,Mobile phone,Voice only including SMS/MMS,,9219000,,,
2022 Q3,Combined,Mobile phone plans,Data only,83487000,,,,
2017 Q4,Combined,Mobile services,"Mobile voice, including roaming",2532050000,,,,
2017 Q3,Combined,Mobile television,,9980000,,,,
2017 Q1,Combined,Mobile phone plans,Data only,153197000,,,,
2019 Q2,Combined,Paging,,1411000,61000,,,
2016 Q2,Combined,Basic voice,,,,,,
2023 Q1,Combined,Mobile services,"Mobile voice, including roaming",1448738000,,,,
2021 Q2,Business,Mobile phone,Data only,,6000,,,
2015 Q3,Combined,Basic voice,,,,,,
2022 Q4,Combined,Mobile phone plans,Data only,81824000,,,,
2017 Q4,Combined,Mobile services,"Data, including roaming",3124010000,,,,
2018 Q2,Combined,Long distance,,,,,,
2019 Q1,Combined,Mobile services,"Data, including roaming",2932131000,,,,
2022 Q4,Combined,Wireless,,,,827766000,,
2022 Q1,Combined,Mobile phone plans,Data only,80095000,,,,
2022 Q3,Residential,Mobile phone,Roaming,209609000,,,,
2015 Q1,Combined,Basic voice,,,,,,
2021 Q4,Residential,Mobile broadband and other plans for mobile connected devices,,88409000,2442000,,,
2018 Q1,Combined,Mobile phone plans,Voice only including SMS/MMS,472525000,,,,
2023 Q2,Residential,Mobile phone,Roaming,186177000,,,,
2023 Q1,Business,Mobile phone,Voice and data,,5596000,,,
2018 Q3,Combined,Mobile services,"Data, including roaming",3166582000,,,,
2017 Q1,Combined,Mobile phone plans,Voice only including SMS/MMS,649451000,,,,
2022 Q1,Business,Mobile phone,Roaming,57335000,,,,
2014 Q1,Combined,Mobile phone,Voice only including SMS/MMS,,9034000,,,
2021 Q2,Combined,Mobile services,"Mobile voice, including roaming",1664463000,,,,
2021 Q3,Business,Mobile phone,Data only,,6000,,,
2021 Q2,Residential,Mobile phone,Terminal equipment sales and rentals,1255010000,,,,
2015 Q3,Combined,Mobile television,,7668000,,,,
2015 Q3,Combined,Mobile phone plans,Data only,165207000,,,,
2014 Q1,Combined,Wireless data traffic (GB),,,,,,23178541.6
2021 Q1,Business,Mobile broadband and other plans for mobile connected devices,,109682000,4258000,,,
2017 Q2,Combined,Mobile phone plans,Voice only including SMS/MMS,666396000,,,,
2019 Q1,Combined,Mobile television,,20754000,,,,
2017 Q1,Combined,Wireless data traffic (GB),,,,,,122168878.7
2018 Q4,Combined,Basic voice,,,,,,
2017 Q2,Combined,Mobile phone,Voice only including SMS/MMS,,5090000,,,
2019 Q3,Combined,Mobile phone,Voice and data,,27294000,,,
2021 Q2,Business,Mobile phone,"Mobile interconnect, spectrum and other",28920000,,,,
2016 Q1,Combined,Mobile phone plans,Voice only including SMS/MMS,653016000,,,,
2015 Q2,Combined,Mobile phone plans,Voice only including SMS/MMS,748759000,,,,
2017 Q1,Combined,Mobile television,,11616000,,,,
2016 Q1,Combined,Wireless data traffic (GB),,,,,,81276141.1
2022 Q2,Residential,Mobile phone,Basic voice,1360381000,,,,
2018 Q1,Combined,Mobile phone,,6482600000,,,,
2022 Q3,Residential,Mobile phone,Voice only including SMS/MMS,,3558000,,,
2022 Q1,Residential,Mobile phone,Data,2692199000,,,,
2023 Q2,Residential,Mobile broadband and other plans for mobile connected devices,,67340000,,,,
2014 Q2,Combined,Paging,,4947000,151000,,,
2022 Q3,Business,Mobile phone,Data,578359000,,,,
2015 Q3,Combined,Mobile services,"Mobile voice, including roaming",1663109000,,,,
2019 Q1,Combined,Mobile phone,Data only,,2589000,,,
2021 Q4,Residential,Paging,,34000,,,,
2020 Q2,Combined,Mobile services,"Mobile voice, including roaming",1876196000,,,,
2014 Q3,Combined,Basic voice,,,,,,
2018 Q3,Combined,Mobile phone plans,Data only,170205000,,,,
2022 Q2,Combined,Mobile phone plans,Voice and data,4882691000,,,,
2022 Q2,Combined,Mobile television,,,,,,
2021 Q1,Combined,Mobile phone plans,Voice and data,4427724000,,,,
2022 Q3,Residential,Mobile phone,Long distance,75101000,,,,
2021 Q1,Residential,Mobile phone,Data only,,157000,,,
2015 Q3,Combined,Mobile phone,,5766776000,,,,
2014 Q3,Combined,Long distance,,,,,,
2015 Q4,Combined,Mobile phone plans,Voice and data,4478199000,,,,
2015 Q1,Combined,Mobile phone,Voice and data,,18908000,,,
2019 Q1,Combined,Mobile services,"Long distance, including roaming",107642000,,,,
2014 Q2,Combined,Mobile phone plans,Voice only including SMS/MMS,1044887000,,,,
2014 Q4,Combined,Mobile phone plans,Data only,211515000,,,,
2017 Q3,Combined,Mobile phone,Voice only including SMS/MMS,,5023000,,,
2020 Q1,Combined,Mobile services,Other mobile services,814990000,,,,
2019 Q3,Combined,Mobile services,"Mobile voice, including roaming",2203375000,,,,
2022 Q1,Combined,Wireless,,,,710193000,,
2021 Q4,Business,Mobile phone,Data only,,6000,,,
2017 Q1,Combined,Mobile phone,Voice and data,,23239000,,,
2023 Q1,Residential,Paging,,,,,,
2022 Q4,Business,Mobile phone,Data,622339000,,,,
2023 Q1,Residential,Flanker,Mobile phone,1665845000,11248000,,,
2019 Q2,Combined,Mobile phone,Data only,,2697000,,,
2014 Q2,Combined,Basic voice,,,,,,
2023 Q1,Business,Mobile phone,Data only,,3000,,,
2014 Q4,Combined,Mobile phone,Voice only including SMS/MMS,,9205000,,,
2023 Q1,Residential,Mobile phone,Terminal equipment sales and rentals,1267557000,,,,
2022 Q4,Business,Mobile phone,Basic voice,168967000,,,,
2018 Q4,Combined,Mobile phone,Data only,,2542000,,,
2018 Q1,Combined,Wireless data traffic (GB),,,,,,169331241.1
2019 Q2,Combined,Mobile phone,Voice and data,,26489000,,,
2014 Q1,Combined,Mobile services,"Data, including roaming",1273852000,,,,
2020 Q1,Combined,Paging,,476000,24000,,,
2019 Q4,Combined,Paging,,569000,37000,,,
2022 Q3,Residential,Flanker,Mobile phone,1734628000,11027000,,,
2022 Q2,Combined,Mobile phone plans,Voice only including SMS/MMS,667778000,,,,
2019 Q2,Combined,Mobile phone,,6593498000,,,,
2014 Q4,Combined,Mobile services,"Mobile voice, including roaming",1697572000,,,,
2015 Q2,Combined,Mobile phone,,5575220000,,,,
2020 Q3,Combined,Paging,,457000,23000,,,
2019 Q2,Combined,Mobile services,"Mobile voice, including roaming",2187409000,,,,
2015 Q2,Combined,Mobile phone plans,Data only,169342000,,,,
2015 Q1,Combined,Mobile phone,Data only,,1731000,,,
2021 Q1,Combined,Mobile services,Other mobile services,1521386000,,,,
2021 Q1,Residential,Mobile phone,Terminal equipment sales and rentals,1267024000,,,,
2022 Q4,Combined,Long distance,,,,,,
2022 Q1,Business,Mobile broadband and other plans for mobile connected devices,,136623000,,,,
2020 Q4,Combined,Mobile phone plans,Voice and data,4686776000,,,,
2021 Q4,Residential,Mobile phone,Terminal equipment sales and rentals,1810862000,,,,
2015 Q1,Combined,Paging,,4335000,122000,,,
2015 Q4,Combined,Mobile phone,Data only,,1855000,,,
2018 Q1,Combined,Mobile phone plans,Data only,153894000,,,,
2021 Q2,Combined,Mobile services,"Data, including roaming",3135225000,,,,
2017 Q3,Combined,Mobile services,"Long distance, including roaming",139463000,,,,
2017 Q2,Combined,Mobile phone plans,Voice and data,4900757000,,,,
2022 Q1,Business,Mobile phone,Data only,,3000,,,
2023 Q2,Combined,Mobile television,,0,,,,
2014 Q3,Combined,Mobile services,"Long distance, including roaming",191590000,,,,
2023 Q1,Business,Flanker,Mobile phone,,,,,
2021 Q3,Business,Mobile phone,Long distance,13729000,,,,
2015 Q3,Combined,Mobile phone,Voice only including SMS/MMS,,7224000,,,
2019 Q2,Combined,Wireless data traffic (GB),,,,,,245925744.9
2020 Q4,Combined,Mobile phone plans,Voice only including SMS/MMS,564896000,,,,
2023 Q2,Residential,Mobile phone,Basic voice,1226885000,,,,
2016 Q3,Combined,Mobile services,"Mobile voice, including roaming",2371371000,,,,
2018 Q4,Combined,Mobile services,Other mobile services,1352858000,,,,
2018 Q1,Combined,Basic voice,,,,,,
2018 Q4,Combined,Long distance,,,,,,
2021 Q4,Residential,Mobile phone,Voice only including SMS/MMS,,3951000,,,
2015 Q3,Combined,Mobile services,"Long distance, including roaming",132220000,,,,
2017 Q1,Combined,Mobile services,"Mobile voice, including roaming",2341488000,,,,
2016 Q2,Combined,Mobile services,"Data, including roaming",2829218000,,,,
2022 Q1,Combined,Mobile television,,0,,,,
2017 Q2,Combined,Mobile services,"Mobile voice, including roaming",2396490000,,,,
2022 Q3,Residential,Paging,,0,,,,
2021 Q1,Combined,Mobile television,,301000,,,,
2018 Q3,Combined,Long distance,,,,,,
2014 Q2,Combined,Mobile phone,Voice only including SMS/MMS,,8905000,,,
2014 Q2,Combined,Mobile phone plans,Data only,218409000,,,,
2022 Q2,Business,Flanker,Mobile phone,,,,,
2021 Q1,Residential,Mobile phone,Data,2483578000,,,,
2015 Q1,Combined,Mobile phone,,5363841000,,,,
2014 Q2,Combined,Mobile services,Other mobile services,140658000,,,,
2021 Q3,Business,Paging,,207000,,,,
2022 Q3,Combined,Wireless,,,,898786000,,
2022 Q4,Residential,Mobile phone,Terminal equipment sales and rentals,1900378000,,,,
2014 Q1,Combined,Mobile services,"Long distance, including roaming",172961000,,,,
2018 Q1,Combined,Mobile television,,13881000,,,,
2022 Q1,Business,Flanker,Mobile phone,,,,,
2017 Q3,Combined,Paging,,1813000,73000,,,
2016 Q3,Combined,Mobile phone,,5997455000,,,,
2021 Q2,Business,Mobile phone,Basic voice,156789000,,,,
2019 Q3,Combined,Mobile phone plans,Voice and data,4885316000,,,,
2022 Q2,Residential,Paging,,1000,,,,
2014 Q2,Combined,Mobile phone,Voice and data,,17253000,,,
2023 Q1,Combined,Mobile television,,0,,,,
2014 Q2,Combined,Mobile phone,Data only,,1756000,,,
2014 Q3,Combined,Mobile services,"Mobile voice, including roaming",1680285000,,,,
2021 Q2,Business,Mobile phone,Terminal equipment sales and rentals,247390000,,,,
2014 Q2,Combined,Mobile phone plans,Voice and data,3590097000,,,,
2020 Q3,Combined,Mobile phone plans,Data only,181730000,,,,
2022 Q4,Combined,Mobile television,,,,,,
2023 Q2,Business,Mobile phone,"Mobile interconnect, spectrum and other",55095000,,,,
2022 Q2,Combined,Long distance,,,,,,
2021 Q3,Residential,Mobile phone,Voice and data,,23935000,,,
2014 Q1,Combined,Mobile phone,,4985812000,,,,
2022 Q1,Business,Mobile phone,Voice only including SMS/MMS,,556000,,,
2023 Q1,Combined,Mobile services,"Data, including roaming",3911746000,,,,
2022 Q4,Business,Mobile broadband and other plans for mobile connected devices,,163289000,,,,
2017 Q4,Combined,Wireless data traffic (GB),,,,,,167047395.3
2014 Q1,Combined,Mobile phone plans,Voice and data,3492144000,,,,
2022 Q2,Business,Mobile phone,Voice and data,,5011000,,,
2016 Q4,Combined,Mobile services,"Data, including roaming",2970853000,,,,
2022 Q4,Residential,Paging,,0,,,,
2022 Q4,Combined,Mobile services,Other mobile services,2314706000,,,,
2018 Q4,Combined,Paging,,1638000,65000,,,
2023 Q1,Residential,Mobile phone,Voice only including SMS/MMS,,3301000,,,
2016 Q3,Combined,Mobile phone plans,Data only,167489000,,,,
2017 Q2,Combined,Wireless data traffic (GB),,,,,,143095666.2
2015 Q1,Combined,Mobile services,"Mobile voice, including roaming",1588793000,,,,
2014 Q1,Combined,Mobile phone,Voice and data,,16977000,,,
2014 Q4,Combined,Wireless data traffic (GB),,,,,,36740143.4
2015 Q3,Combined,Mobile phone plans,Voice and data,4422567000,,,,
2021 Q4,Combined,Mobile services,"Data, including roaming",3350588000,,,,
2014 Q4,Combined,Mobile services,"Long distance, including roaming",169330000,,,,
2022 Q2,Business,Mobile phone,Roaming,80942000,,,,
2021 Q3,Business,Mobile phone,Data,477791000,,,,
2023 Q2,Residential,Paging,,,,,,
2021 Q1,Business,Mobile phone,Terminal equipment sales and rentals,294194000,,,,
2018 Q1,Combined,Mobile services,"Mobile voice, including roaming",2164866000,,,,
2018 Q3,Combined,Mobile phone,Data only,,2442000,,,
2016 Q3,Combined,Mobile phone,Data only,,1967000,,,
2022 Q2,Combined,Mobile phone plans,Data only,80250000,,,,
2018 Q4,Combined,Mobile phone,,7331150000,,,,
2021 Q3,Combined,Mobile television,,,,,,
2016 Q2,Combined,Mobile phone plans,Voice and data,4539152000,,,,
2022 Q3,Residential,Mobile phone,Data,2720282000,,,,
2020 Q4,Combined,Mobile phone,Data only,,4248000,,,
2019 Q2,Combined,Mobile phone plans,Data only,159345000,,,,
2023 Q2,Business,Mobile broadband and other plans for mobile connected devices,,156046000,,,,
2020 Q3,Combined,Mobile services,"Data, including roaming",3219195000,,,,
2021 Q3,Residential,Mobile phone,Terminal equipment sales and rentals,1446228000,,,,
2021 Q2,Business,Mobile phone,Data,445725000,,,,
2014 Q3,Combined,Mobile phone plans,Voice only including SMS/MMS,1161463000,,,,
2015 Q4,Combined,Mobile services,"Long distance, including roaming",129887000,,,,
2023 Q1,Combined,Mobile services,"Long distance, including roaming",89715000,,,,
2015 Q4,Combined,Wireless data traffic (GB),,,,,,51156285.2
2018 Q4,Combined,Mobile phone,Voice only including SMS/MMS,,4638000,,,
2017 Q4,Combined,Mobile phone plans,Voice only including SMS/MMS,503499000,,,,
2021 Q3,Business,Mobile broadband and other plans for mobile connected devices,,142877000,4526000,,,
2019 Q2,Combined,Mobile phone plans,Voice only including SMS/MMS,512079000,,,,
2015 Q2,Combined,Mobile phone plans,Voice and data,4214653000,,,,
2023 Q1,Business,Mobile phone,Terminal equipment sales and rentals,388006000,,,,
2023 Q2,Combined,Mobile phone plans,Voice and data,5238304000,,,,
2020 Q4,Combined,Mobile phone,Voice and data,,27507000,,,
2022 Q3,Residential,Mobile phone,Terminal equipment sales and rentals,1419320000,,,,
2018 Q1,Combined,Long distance,,,,,,
2016 Q1,Combined,Paging,,2432000,89000,,,
2020 Q4,Combined,Mobile services,"Long distance, including roaming",104445000,,,,
2021 Q4,Combined,Mobile phone plans,Voice and data,4901725000,,,,
2022 Q2,Residential,Mobile phone,Long distance,71746000,,,,
2021 Q1,Business,Mobile phone,Long distance,14194000,,,,
2023 Q1,Business,Mobile phone,Basic voice,117604000,,,,
2017 Q4,Combined,Mobile television,,11631000,,,,
2021 Q4,Business,Mobile phone,"Mobile interconnect, spectrum and other",45170000,,,,
2022 Q1,Residential,Paging,,,,,,
2019 Q2,Combined,Basic voice,,,,,,
2016 Q3,Combined,Long distance,,,,,,
2016 Q3,Combined,Mobile phone,Voice only including SMS/MMS,,6672000,,,
2016 Q1,Combined,Basic voice,,,,,,
2020 Q1,Combined,Mobile services,"Mobile voice, including roaming",1953041000,,,,
2014 Q4,Combined,Paging,,4728000,145000,,,
2020 Q4,Combined,Paging,,319000,21000,,,
2015 Q4,Combined,Mobile services,Other mobile services,212972000,,,,
2022 Q2,Business,Mobile phone,Data,557947000,,,,
2021 Q4,Business,Mobile phone,Voice and data,,4130000,,,
2015 Q4,Combined,Mobile services,"Data, including roaming",1770645000,,,,
2021 Q1,Combined,Mobile services,"Data, including roaming",3088976000,,,,
2014 Q3,Combined,Mobile phone,,5399191000,,,,
2017 Q3,Combined,Mobile services,Other mobile services,307040000,,,,
2021 Q2,Combined,Mobile phone plans,Voice and data,4562238000,,,,
2023 Q1,Business,Mobile phone,Long distance,17411000,,,,
2017 Q2,Combined,Long distance,,,,,,
2015 Q3,Combined,Mobile phone,Data only,,1840000,,,
2017 Q2,Combined,Paging,,2101000,80000,,,
2016 Q4,Combined,Long distance,,,,,,
