Date,Business Market,Metric,Revenues,Subscribers,Capital Expenditures,Internet Data - Monthly Average (GB)
2014 Q4,Business,Other Internet services,97619000,,,
2021 Q1,Residential,"50-99 Mbps download, 10+ Mbps upload",,2079000,,
2020 Q2,Business,High-speed (256Kbps+),341511000,1209000,,
2021 Q3,Business,"50-99 Mbps download, 10+ Mbps upload",,169000,,
2023 Q2,Business,"100-299 Mbps download, 10+ Mbps upload",,181000,,
2023 Q1,Residential,"940+ download, 200+ Mbps upload",,2252000,,
2021 Q4,Residential,"100-299 Mbps download, 10+ Mbps upload",,2814000,,
2020 Q3,Residential,"10-24 Mbps download, 1-3 Mbps upload",,1189000,,
2023 Q2,Business,"1.5-10 Mbps download, 1 Mbps upload",,101000,,
2022 Q3,Business,"10-24 Mbps download, 1-3 Mbps upload",,265000,,
2021 Q2,Residential,Dial-up (56Kbps),520000,9000,,
2017 Q3,Residential,"50-99 Mbps download, 10+ Mbps upload",,,,
2017 Q1,Residential,High-speed (256Kbps+),1892056000,10555000,,
2022 Q2,Business,Average downloaded per month per high-speed subscription,,,,277.775
2018 Q1,Residential,"300-939 Mbps download, 10-200 Mbps upload*",,,,
2023 Q1,Business,"50-99 Mbps download, 10+ Mbps upload",,174000,,
2020 Q3,Business,Average uploaded per month per high-speed subscription,,,,54.12
2019 Q2,Combined,Data,489249000,,,
2015 Q4,Business,Other Internet services,89577000,,,
2020 Q3,Business,"1.5-10 Mbps download, 1 Mbps upload",,226000,,
2018 Q3,Business,Other Internet services,85743000,,,
2020 Q2,Combined,Data,469013000,,,
2019 Q2,Residential,"1.5-10 Mbps download, 1 Mbps upload",,2054000,,
2017 Q3,Combined,Data,501781000,,,
2017 Q3,Business,Other Internet services,67597000,,,
2023 Q1,Residential,"50-99 Mbps download, 10+ Mbps upload",,1569000,,
2020 Q1,Residential,"10-24 Mbps download, 1-3 Mbps upload",,1304000,,
2016 Q4,Residential,Other Internet services,9583000,,,
2018 Q4,Business,Dial-up (56Kbps),1759000,12000,,
2022 Q2,Business,Flanker,,,,
2020 Q1,Business,Other Internet services,91848000,,,
2023 Q1,Residential,Average downloaded per month per high-speed subscription,,,,424.5977778
2022 Q1,Business,Average downloaded per month per high-speed subscription,,,,265.7916667
2018 Q3,Residential,"100-299 Mbps download, 10+ Mbps upload",,,,
2014 Q4,Residential,"1.5-10 Mbps download, 1 Mbps upload",,9901000,,
2018 Q4,Residential,"25-49 Mbps download, 3-10 Mbps upload",,,,
2016 Q2,Residential,Other Internet services,11176000,,,
2014 Q4,Business,High-speed (256Kbps+),235588000,843000,,
2021 Q4,Combined,Wireline,,,2555056000,
2022 Q2,Business,"940+ download, 200+ Mbps upload",,156000,,
2018 Q4,Residential,Dial-up (56Kbps),809000,22000,,
2019 Q4,Residential,"1.5-10 Mbps download, 1 Mbps upload",,1939000,,
2015 Q3,Residential,Other Internet services,9204000,,,
2019 Q2,Residential,High-speed (256Kbps+),2190266000,11120000,,
2019 Q1,Residential,Other Internet services,23741000,,,
2019 Q1,Business,High-speed (256Kbps+),326819000,1048000,,
2021 Q4,Business,"10-24 Mbps download, 1-3 Mbps upload",,284000,,
2016 Q3,Business,Other Internet services,71114000,,,
2023 Q2,Residential,"10-24 Mbps download, 1-3 Mbps upload",,1018000,,
2019 Q2,Residential,Average downloaded per month per high-speed subscription,,,,191.8466667
2017 Q1,Residential,"10-24 Mbps download, 1-3 Mbps upload",,,,
2019 Q4,Residential,Average uploaded per month per high-speed subscription,,,,26.35166667
2022 Q4,Residential,Average downloaded per month per high-speed subscription,,,,438.8285714
2015 Q3,Residential,"25-49 Mbps download, 3-10 Mbps upload",,,,
2023 Q1,Residential,"300-939 Mbps download, 10-200 Mbps upload*",,2707000,,
2014 Q2,Residential,"25-49 Mbps download, 3-10 Mbps upload",,,,
2016 Q2,Business,Dial-up (56Kbps),2207000,15000,,
2020 Q1,Business,Average uploaded per month per high-speed subscription,,,,48.26166667
2017 Q4,Residential,Other Internet services,6226000,,,
2019 Q1,Residential,High-speed (256Kbps+),2107797000,11023000,,
2021 Q2,Residential,"10-24 Mbps download, 1-3 Mbps upload",,1179000,,
2019 Q1,Business,Average downloaded per month per high-speed subscription,,,,130.924
2022 Q3,Business,"300-939 Mbps download, 10-200 Mbps upload*",,187000,,
2017 Q4,Residential,"1.5-10 Mbps download, 1 Mbps upload",,10697000,,
2017 Q4,Business,Dial-up (56Kbps),1793000,16000,,
2018 Q2,Residential,"50-99 Mbps download, 10+ Mbps upload",,,,
2014 Q1,Residential,"25-49 Mbps download, 3-10 Mbps upload",,,,
2017 Q1,Residential,"50-99 Mbps download, 10+ Mbps upload",,,,
2021 Q1,Business,Average downloaded per month per high-speed subscription,,,,212.445
2019 Q3,Residential,Average uploaded per month per high-speed subscription,,,,25.04333333
2019 Q4,Residential,"50-99 Mbps download, 10+ Mbps upload",,1971000,,
2018 Q2,Residential,"25-49 Mbps download, 3-10 Mbps upload",,,,
2021 Q2,Residential,"50-99 Mbps download, 10+ Mbps upload",,2064000,,
2023 Q2,Residential,"940+ download, 200+ Mbps upload",,2491000,,
2014 Q3,Residential,"300-939 Mbps download, 10-200 Mbps upload*",,,,
2020 Q4,Combined,Data,485194000,,,
2017 Q2,Residential,Other Internet services,8034000,,,
2014 Q4,Combined,Data,612018000,,,
2021 Q2,Business,Average downloaded per month per high-speed subscription,,,,219.2133333
2022 Q3,Business,"50-99 Mbps download, 10+ Mbps upload",,171000,,
2018 Q4,Residential,"10-24 Mbps download, 1-3 Mbps upload",,,,
2022 Q3,Residential,"1.5-10 Mbps download, 1 Mbps upload",,1247000,,
2014 Q4,Residential,"100-299 Mbps download, 10+ Mbps upload",,,,
2021 Q1,Business,"50-99 Mbps download, 10+ Mbps upload",,164000,,
2022 Q1,Residential,Average uploaded per month per high-speed subscription,,,,37.43
2020 Q2,Residential,"50-99 Mbps download, 10+ Mbps upload",,1994000,,
2021 Q3,Residential,"940+ download, 200+ Mbps upload",,1292000,,
2018 Q2,Residential,High-speed (256Kbps+),2031616000,10874000,,
2020 Q4,Business,"25-49 Mbps download, 3-10 Mbps upload",,105000,,
2019 Q3,Residential,"100-299 Mbps download, 10+ Mbps upload",,1743000,,
2019 Q1,Business,"10-24 Mbps download, 1-3 Mbps upload",,151000,,
2014 Q2,Residential,High-speed (256Kbps+),1462094000,9877000,,
2016 Q1,Residential,"10-24 Mbps download, 1-3 Mbps upload",,,,
2017 Q4,Residential,"300-939 Mbps download, 10-200 Mbps upload*",,,,
2022 Q1,Residential,"100-299 Mbps download, 10+ Mbps upload",,2885000,,
2014 Q3,Residential,"10-24 Mbps download, 1-3 Mbps upload",,,,
2020 Q1,Residential,Average uploaded per month per high-speed subscription,,,,22.47
2018 Q3,Residential,High-speed (256Kbps+),2063959000,10969000,,
2022 Q3,Business,"25-49 Mbps download, 3-10 Mbps upload",,89000,,
2015 Q2,Residential,"50-99 Mbps download, 10+ Mbps upload",,,,
2021 Q2,Business,"10-24 Mbps download, 1-3 Mbps upload",,285000,,
2021 Q2,Business,"300-939 Mbps download, 10-200 Mbps upload*",,33000,,
2023 Q1,Combined,Data,508533000,,,
2018 Q2,Residential,"100-299 Mbps download, 10+ Mbps upload",,,,
2020 Q4,Residential,"10-24 Mbps download, 1-3 Mbps upload",,1153000,,
2019 Q4,Residential,"25-49 Mbps download, 3-10 Mbps upload",,1236000,,
2021 Q3,Residential,Other Internet services,54281000,,,
2021 Q4,Residential,Average downloaded per month per high-speed subscription,,,,404.7714286
2015 Q4,Business,Dial-up (56Kbps),2471000,15000,,
2020 Q3,Residential,Average downloaded per month per high-speed subscription,,,,325.6433333
2021 Q4,Residential,Other Internet services,55923000,,,
2016 Q4,Residential,"100-299 Mbps download, 10+ Mbps upload",,,,
2015 Q1,Residential,"25-49 Mbps download, 3-10 Mbps upload",,,,
2019 Q3,Residential,"25-49 Mbps download, 3-10 Mbps upload",,1297000,,
2022 Q1,Residential,Other Internet services,43488000,,,
2014 Q3,Residential,"100-299 Mbps download, 10+ Mbps upload",,,,
2018 Q3,Residential,"300-939 Mbps download, 10-200 Mbps upload*",,,,
2016 Q4,Residential,High-speed (256Kbps+),1861210000,10483000,,
2019 Q1,Residential,Average downloaded per month per high-speed subscription,,,,204.824
2020 Q4,Residential,Average downloaded per month per high-speed subscription,,,,374.4866667
2014 Q1,Residential,Other Internet services,10730000,,,
2019 Q3,Business,Other Internet services,98518000,,,
2019 Q4,Residential,Dial-up (56Kbps),676000,18000,,
2019 Q1,Business,Average uploaded per month per high-speed subscription,,,,36.798
2014 Q1,Business,High-speed (256Kbps+),235259000,867000,,
2019 Q3,Business,High-speed (256Kbps+),340771000,1076000,,
2014 Q4,Residential,"300-939 Mbps download, 10-200 Mbps upload*",,,,
2022 Q4,Residential,High-speed (256Kbps+),2641341000,12487000,,
2016 Q2,Residential,"50-99 Mbps download, 10+ Mbps upload",,,,
2023 Q2,Business,"300-939 Mbps download, 10-200 Mbps upload*",,173000,,
2016 Q3,Business,High-speed (256Kbps+),262922000,933000,,
2019 Q3,Business,"1.5-10 Mbps download, 1 Mbps upload",,231000,,
2015 Q1,Residential,High-speed (256Kbps+),1556385000,10005000,,
2017 Q1,Residential,"1.5-10 Mbps download, 1 Mbps upload",,10477000,,
2020 Q1,Business,"1.5-10 Mbps download, 1 Mbps upload",,234000,,
2021 Q4,Residential,"50-99 Mbps download, 10+ Mbps upload",,2002000,,
2019 Q4,Residential,"10-24 Mbps download, 1-3 Mbps upload",,1322000,,
2019 Q4,Residential,Average downloaded per month per high-speed subscription,,,,228.3783333
2015 Q2,Combined,Data,546848000,,,
2020 Q2,Business,Dial-up (56Kbps),983000,4000,,
2022 Q3,Business,"940+ download, 200+ Mbps upload",,168000,,
2015 Q3,Residential,High-speed (256Kbps+),1650127000,10139000,,
2017 Q1,Residential,"25-49 Mbps download, 3-10 Mbps upload",,,,
2020 Q2,Residential,"300-939 Mbps download, 10-200 Mbps upload*",,3198000,,
2016 Q3,Residential,Dial-up (56Kbps),1545000,35000,,
2022 Q4,Combined,Data,477020000,,,
2022 Q4,Residential,"1.5-10 Mbps download, 1 Mbps upload",,1237000,,
2022 Q1,Business,Dial-up (56Kbps),536000,3000,,
2022 Q2,Residential,"100-299 Mbps download, 10+ Mbps upload",,2928000,,
2019 Q2,Business,High-speed (256Kbps+),335661000,1064000,,
2022 Q3,Business,Other Internet services,70015000,,,
2022 Q2,Residential,"940+ download, 200+ Mbps upload",,1551000,,
2023 Q1,Business,"300-939 Mbps download, 10-200 Mbps upload*",,169000,,
2023 Q1,Residential,Dial-up (56Kbps),367000,5000,,
2022 Q4,Business,High-speed (256Kbps+),422848000,1271000,,
2020 Q4,Residential,Dial-up (56Kbps),530000,12000,,
2014 Q3,Business,High-speed (256Kbps+),233542000,828000,,
2015 Q1,Residential,Dial-up (56Kbps),2350000,43000,,
2020 Q1,Residential,Dial-up (56Kbps),597000,13000,,
2019 Q2,Residential,Dial-up (56Kbps),734000,19000,,
2021 Q1,Business,Average uploaded per month per high-speed subscription,,,,63.34666667
2021 Q1,Business,"10-24 Mbps download, 1-3 Mbps upload",,282000,,
2021 Q3,Business,"300-939 Mbps download, 10-200 Mbps upload*",,38000,,
2017 Q2,Business,Other Internet services,65568000,,,
2020 Q4,Business,Other Internet services,87634000,,,
2015 Q2,Business,Dial-up (56Kbps),2609000,18000,,
2020 Q3,Residential,Dial-up (56Kbps),582000,13000,,
2021 Q3,Residential,High-speed (256Kbps+),2488914000,11970000,,
2023 Q1,Business,Dial-up (56Kbps),303000,2000,,
2021 Q4,Business,"100-299 Mbps download, 10+ Mbps upload",,188000,,
2022 Q4,Business,"25-49 Mbps download, 3-10 Mbps upload",,118000,,
2016 Q1,Combined,Data,518402000,,,
2016 Q1,Business,Dial-up (56Kbps),2265000,16000,,
2023 Q2,Business,"10-24 Mbps download, 1-3 Mbps upload",,233000,,
2016 Q4,Residential,"10-24 Mbps download, 1-3 Mbps upload",,,,
2022 Q4,Residential,Dial-up (56Kbps),447000,8000,,
2017 Q4,Residential,Dial-up (56Kbps),976000,24000,,
2019 Q2,Business,"100-299 Mbps download, 10+ Mbps upload",,88000,,
2021 Q2,Business,Average uploaded per month per high-speed subscription,,,,67.00666667
2020 Q1,Residential,Average downloaded per month per high-speed subscription,,,,310.1833333
2019 Q3,Residential,Dial-up (56Kbps),709000,18000,,
2020 Q2,Business,Other Internet services,72693000,,,
2020 Q3,Business,"100-299 Mbps download, 10+ Mbps upload",,166000,,
2019 Q4,Business,"100-299 Mbps download, 10+ Mbps upload",,99000,,
2020 Q2,Residential,"25-49 Mbps download, 3-10 Mbps upload",,1126000,,
2022 Q3,Combined,Data,425415000,,,
2021 Q3,Residential,"10-24 Mbps download, 1-3 Mbps upload",,1124000,,
2021 Q1,Residential,"1.5-10 Mbps download, 1 Mbps upload",,1342000,,
2018 Q4,Residential,"100-299 Mbps download, 10+ Mbps upload",,,,
2022 Q2,Residential,Average uploaded per month per high-speed subscription,,,,34.65857143
2015 Q2,Residential,"300-939 Mbps download, 10-200 Mbps upload*",,,,
2014 Q3,Business,Dial-up (56Kbps),2666000,20000,,
2016 Q3,Residential,High-speed (256Kbps+),1811590000,10386000,,
2021 Q3,Combined,Data,438478000,,,
2019 Q2,Residential,Average uploaded per month per high-speed subscription,,,,23.35666667
2018 Q2,Residential,"300-939 Mbps download, 10-200 Mbps upload*",,,,
2023 Q2,Business,Average downloaded per month per high-speed subscription,,,,381.82875
2018 Q1,Residential,"10-24 Mbps download, 1-3 Mbps upload",,,,
2022 Q1,Business,"100-299 Mbps download, 10+ Mbps upload",,190000,,
2022 Q4,Residential,Other Internet services,34684000,,,
2019 Q2,Residential,"10-24 Mbps download, 1-3 Mbps upload",,1421000,,
2019 Q3,Residential,"300-939 Mbps download, 10-200 Mbps upload*",,2784000,,
2016 Q1,Residential,"300-939 Mbps download, 10-200 Mbps upload*",,,,
2021 Q3,Residential,"50-99 Mbps download, 10+ Mbps upload",,2042000,,
2019 Q2,Residential,"25-49 Mbps download, 3-10 Mbps upload",,1386000,,
2021 Q3,Residential,"300-939 Mbps download, 10-200 Mbps upload*",,2491000,,
2015 Q1,Business,Other Internet services,93887000,,,
2014 Q1,Residential,"300-939 Mbps download, 10-200 Mbps upload*",,,,
2015 Q2,Residential,Other Internet services,8712000,,,
2020 Q3,Residential,"100-299 Mbps download, 10+ Mbps upload",,2001000,,
2021 Q2,Residential,"940+ download, 200+ Mbps upload",,1179000,,
2017 Q3,Business,High-speed (256Kbps+),281263000,963000,,
2015 Q3,Residential,"100-299 Mbps download, 10+ Mbps upload",,,,
2020 Q3,Residential,"1.5-10 Mbps download, 1 Mbps upload",,1873000,,
2018 Q4,Combined,Data,515303000,,,
2022 Q4,Business,"1.5-10 Mbps download, 1 Mbps upload",,100000,,
2018 Q3,Residential,Dial-up (56Kbps),883000,23000,,
